firm_id,name,category,category_search,address,rating,reviews_count,reviews_collected,phone,url
70000001089786950,"Bauyrdaq Qazaq Fast-food, кафе",Быстрое питание,кафе,Не указан,4.8,1161,910,+7‒775‒139‒18‒00,https://2gis.kz/almaty/firm/70000001089786950
70000001028556245,"Центр Шашлыка, кафе",Кафе,кафе,Не указан,4.2,806,646,+7‒707‒018‒01‒87,https://2gis.kz/almaty/firm/70000001028556245
70000001082550767,"Baharat, чайхана",Кафе,кафе,Не указан,4.8,1725,1362,+7‒707‒535‒94‒36,https://2gis.kz/almaty/firm/70000001082550767
70000001101151848,"DOM HOGO, кафе",Кафе,кафе,Не указан,4.8,131,104,+7‒707‒382‒78‒17,https://2gis.kz/almaty/firm/70000001101151848
70000001062081597,"Bukhara.kz, кафе",Кафе,кафе,Не указан,4.5,678,492,+7‒700‒812‒70‒70,https://2gis.kz/almaty/firm/70000001062081597
70000001050769375,"Maki Maki, кафе быстрого питания",Доставка еды,кафе,Не указан,4.6,5653,4604,+7‒771‒107‒07‒07,https://2gis.kz/almaty/firm/70000001050769375
70000001094788756,"okadzaki. kz, кафе",Кафе,кафе,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001041444514,"МЯТ Вышка, лаундж-бар",Бары,кафе,Не указан,4.7,1871,1601,+7‒701‒777‒17‒52,https://2gis.kz/almaty/firm/70000001041444514
70000001068970224,"Shafran, кафе",Кафе,кафе,Не указан,4.8,4113,3275,+7‒707‒990‒14‒84,https://2gis.kz/almaty/firm/70000001068970224
70000001053127916,"Vilka, стейк-хаус",Кафе,кафе,Не указан,4.6,1845,1622,+7‒778‒515‒47‒03,https://2gis.kz/almaty/firm/70000001053127916
70000001080307870,"Pizzalini, ресторан",Рестораны,ресторан,Не указан,4.9,469,440,+7‒747‒693‒58‒68,https://2gis.kz/almaty/firm/70000001080307870
70000001089490010,"Bella Ciao, итальянская траттория",Рестораны,ресторан,Не указан,4.5,1221,1065,+7‒708‒377‒37‒37,https://2gis.kz/almaty/firm/70000001089490010
70000001080765510,"GRANO, европейский ресторан итальянской кухни",Доставка еды,ресторан,Не указан,4.7,904,786,+7‒705‒125‒50‒05,https://2gis.kz/almaty/firm/70000001080765510
70000001089998787,"Chaihana NAVAT, ресторан",Рестораны,ресторан,Не указан,4.8,5328,4660,+7‒777‒464‒11‒11,https://2gis.kz/almaty/firm/70000001089998787
70000001056262668,"Lova Kitchen, лаундж-бар",Бары,ресторан,Не указан,4.7,1689,1446,+7‒776‒700‒00‒15,https://2gis.kz/almaty/firm/70000001056262668
70000001094788756,"okadzaki. kz, кафе",Кафе,ресторан,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001047809429,"Sansara Lounge, ресто-бар",Бары,ресторан,Не указан,4.9,1777,1545,+7‒700‒022‒28‒75,https://2gis.kz/almaty/firm/70000001047809429
70000001089371439,"Mildom Terrace, авторский ресторан европейской кухни",Рестораны,ресторан,Не указан,4.6,140,98,+7‒775‒474‒25‒91,https://2gis.kz/almaty/firm/70000001089371439
70000001058785497,"TomYumBar, ресторан паназиатской кухни",Рестораны,ресторан,Не указан,4.9,2742,2241,+7‒708‒001‒80‒80,https://2gis.kz/almaty/firm/70000001058785497
70000001057218816,"MÖTE, ресторан",Рестораны,ресторан,Не указан,4.9,420,363,+7‒700‒600‒02‒12,https://2gis.kz/almaty/firm/70000001057218816
70000001094773595,"Harat`s Republic, бар",Кафе,бар,Не указан,4.9,469,415,+7‒707‒130‒77‒57,https://2gis.kz/almaty/firm/70000001094773595
70000001104066064,Gallery lounge Bar,Кафе,бар,Не указан,0.0,0,1,+7‒707‒398‒24‒52,https://2gis.kz/almaty/firm/70000001104066064
70000001101405317,"The Phoenix Pub, бар",Бары,бар,Не указан,4.6,33,27,+7‒707‒111‒03‒49,https://2gis.kz/almaty/firm/70000001101405317
70000001088195231,"HookahPlace Almaty, лаундж-бар",Бары,бар,Не указан,4.9,188,156,+7‒771‒376‒66‒36,https://2gis.kz/almaty/firm/70000001088195231
70000001100042129,"Shisha Platinum, лаундж-бар и караоке",Караоке-залы,бар,Не указан,4.8,181,158,+7‒707‒055‒10‒11,https://2gis.kz/almaty/firm/70000001100042129
70000001075828426,"Мятный Platinum Alapark, лаундж-бар",Кафе,бар,Не указан,4.9,310,251,+7‒705‒617‒79‒77,https://2gis.kz/almaty/firm/70000001075828426
70000001096798537,"Шашлыкоff, гриль-бар",Кафе,бар,Не указан,4.7,591,515,+7‒707‒835‒08‒88,https://2gis.kz/almaty/firm/70000001096798537
70000001038205162,"Lugo bar, ресто-бар",Бары,бар,Не указан,4.7,2505,2132,+7‒778‒557‒32‒26,https://2gis.kz/almaty/firm/70000001038205162
70000001041686805,"Easy, лаундж-бар",Кафе,бар,Не указан,4.8,530,424,+7‒775‒219‒66‒88,https://2gis.kz/almaty/firm/70000001041686805
70000001063421066,"ZEBRA COFFEE, кофейня",Кофейни,кофейня,Не указан,4.9,570,481,+7‒706‒406‒86‒50,https://2gis.kz/almaty/firm/70000001063421066
